author,commits_number,bug_commits_number,total_fix_distance,total_find_bug_time,total_fix_bug_time
Zhuoyu Zhang,1,1,1.5,3093867.0,3580613.0
YunQiang Su,2,1,1.0,1698203.0,1698203.0
Yaogong Wang,1,1,1.0,547537.0,547537.0
Yan Laijun,1,1,1.0,76652347.0,76652347.0
Yangchun Fu,1,1,1.0,1551171.0,1551171.0
Wilson Ding,1,1,1.0,10442039.0,10442039.0
Wen Shi,1,1,1.4,12634.2,21056.0
Waibel Georg,2,1,2.0,-1342222.0,1272871.0
Vunny Sodhi,1,1,1.0,276518.0,276518.0
Vitaly Katraew,1,1,1.0,69591023.0,69591023.0
Vincent Fann,1,1,1.0,12060903.0,12060903.0
Vijay Rai,1,1,1.2,78984049.6,82937618.0
Vallish Vaidyeshwara,1,1,1.0,49332835.0,49332835.0
Tom Cooksey,1,1,2.0,2218562.0,3275046.0
Ting Shen,1,1,1.0,5325082.0,5325082.0
Tianping Fang,1,1,1.25,143170824.75,145160413.0
Ted Mielczarek,1,1,1.3333333333333333,44375346.333333336,51777954.666666664
Tamizh Chelvam,6,1,1.0,2810418.0,2810418.0
Taketo Kabe,1,1,1.0,9181047.0,9181047.0
stuart hayes,1,1,3.0,5053538.0,83222918.0
Steve Whitehouse,1,1,1.0,20534846.0,20534846.0
Steven Haigh,1,1,9.0,24775475.0,261937483.0
Steven Barth,1,1,2.3333333333333335,18807649.0,71176401.0
Steve Moskovchenko,1,1,1.0,7368657.0,7368657.0
Simon Schwartz,1,1,1.0,3179781.0,3179781.0
Simon Ho,1,1,1.0,316739.0,316739.0
Siebren Vroegindeweij,1,1,1.0,1295932.0,1295932.0
Shen Guang,1,1,2.0,21977201.0,142865635.0
Shefali Jain,1,1,1.0,2573956.0,2573956.0
Sharvari Harisangam,1,1,1.0,15586020.0,15586020.0
Shahar Patury,1,1,1.0,1385924.0,1385924.0
Seth Levy,1,1,2.0,98018821.0,240788724.0
Sergey Bostandzhyan,1,1,1.0,7210367.0,7210367.0
Sandipan Patra,3,1,1.4285714285714286,8046893.714285715,10053040.42857143
Ryan Chen,1,1,1.0,6991887.0,6991887.0
qize wang,1,1,1.0,639281.0,639281.0
Pratibhasagar V,1,1,1.0,78950586.0,78950586.0
Philip Attfield,1,1,1.0,17347969.0,17347969.0
Peter Dawson,1,1,1.0,550843.0,550843.0
Pedro Garcia,1,1,10.0,8090241.0,236041317.0
Paul Drews,1,1,1.0,4547254.0,4547254.0
Patrick Ruddy,1,1,1.0,31039912.0,31039912.0
Pan Wen,1,1,1.0,40047927.0,40047927.0
Padmanabhan Rajanbabu,1,1,1.0,1649921.0,1649921.0
Nina Schiff,1,1,2.0,21293429.5,41482457.0
Nikunj Kela,1,1,1.0,336543.0,336543.0
Nick Fedchik,1,1,1.0,344499311.0,344499311.0
Neil McKee,1,1,3.0,22829457.0,70162224.0
Minal Shah,1,1,1.0,9873684.0,9873684.0
Michael Lange,1,1,1.0,7686818.0,7686818.0
Matt Campbell,1,1,1.0,2931080.0,2931080.0
Marty Plummer,1,1,1.0,1707969.0,1707969.0
Martin Liu,1,1,2.0,15753635.0,17027771.0
Martin Jansen,1,1,3.0,52598335.0,280380717.0
Mark Marshall,1,1,1.5,36182491.0,36217183.0
Mark Furneaux,1,1,2.5,5456083.0,26865916.0
Mario Rugiero,1,1,1.0,14354993.0,14354993.0
Marian Rotariu,1,1,1.0,2096875.0,2096875.0
Marcin Ziemianowicz,1,1,1.0,14151223.0,14151223.0
Mantas M,1,1,1.5,15617069.5,19863767.0
Lukasz Spintzyk,1,1,1.0,18293511.0,18293511.0
Lucy McCoy,1,1,2.5,212406528.5,399739184.0
